model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
GM2noBHs 223 8.13 69436306.81 7799775332.31 1140420836.60
GM2noBHs 256 9.42 101942830.06 9165730191.43 1427879489.64
GM2noBHs 273 10.35 131378496.06 10731235477.65 1623754979.96
GM2noBHs 345 14.61 297433703.76 19294309074.51 2526597475.31
GM2noBHs 384 16.25 383116906.75 21366200390.81 2888714829.37
GM2noBHs 454 18.72 569416956.89 23123245477.68 3315159432.08
GM2noBHs 512 21.07 749032318.42 25677777038.48 3855006490.61
GM2noBHs 635 29.00 1431122213.41 43557066166.77 6415997560.63
GM2noBHs 640 29.35 1460780606.27 44412629682.57 6546971109.03
GM2noBHs 768 39.90 2682214067.72 76827200530.86 11633437940.13
GM2noBHs 896 51.50 6312481976.72 121531216751.07 15631766880.01
GM2noBHs 972 60.95 12445488219.76 169332198381.25 19617682777.58
GM2noBHs 1024 71.48 17389601106.97 246358377151.60 28395649047.91
GM2noBHs 1152 82.67 24298321438.67 300844083525.13 29592838476.85
GM2noBHs 1280 94.83 31656153939.77 361292699980.60 37056262549.75
GM2noBHs 1408 106.45 34309141958.52 419215823395.66 44878023716.82
GM2noBHs 1536 118.66 39303745963.78 481909704012.11 53540576458.86
GM2noBHs 1664 127.74 43055376275.94 505787664945.37 54947359053.95
GM2noBHs 1739 132.23 46393917980.31 507693621856.74 55384438805.09
GM2noBHs 1792 136.06 47151677259.22 518543872358.46 56394525719.38
GM2noBHs 1920 143.14 47803141596.82 518270652777.20 56231002058.76
GM2noBHs 2048 150.38 51747378438.57 517848521371.80 55677521281.18
GM2noBHs 2176 160.61 54098530203.64 551874801661.75 59347171175.64
GM2noBHs 2304 169.23 55750925291.32 566804606731.96 61086949127.16
GM2noBHs 2432 177.93 57746467662.94 581097996139.08 62680023215.78
GM2noBHs 2554 186.69 58826469888.34 599442759879.80 65004949058.46
GM2noBHs 2560 187.15 58885374180.74 600225798616.55 65115762676.35
GM2noBHs 2688 195.01 60067689855.97 602715243836.80 67574827446.58
GM2noBHs 2816 203.94 61356554353.31 614757218067.14 70724384735.26
GM2noBHs 2944 215.12 62991244418.88 647412107702.41 75074422582.93
GM2noBHs 3072 227.96 64633737772.36 696551579176.20 80331339712.43
GM2noBHs 3195 241.85 68022039926.67 755512650881.09 86536861558.21
GM2noBHs 3200 242.35 68104211591.64 756522275909.22 86589190037.90
GM2noBHs 3328 252.95 70090469576.26 779451692830.94 88067064582.15
GM2noBHs 3456 263.69 69543269336.40 804846666140.41 88285665795.87
GM2noBHs 3584 274.59 75120287098.50 823650896527.54 88271203493.94
GM2noBHs 3712 285.23 77274495569.03 842662687968.20 87396352545.04
