model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM3SI1 3712 12.51 0.10 1 1217 5809572869.26 5002465951.89
GM3SI1 3584 12.08 0.13 1 346 697513158.22 372770461.12
GM3SI1 3456 11.65 0.17 1 501 1273984333.88 762279108.02
GM3SI1 3328 11.22 0.21 1 781 1676175628.71 984658642.79
GM3SI1 3200 10.79 0.25 1 732 1704517208.34 1054778443.79
GM3SI1 3195 10.77 0.25 1 732 1703531157.91 1058137029.81
GM3SI1 3072 10.35 0.29 1 857 1602568875.52 1046317569.88
GM3SI1 2944 9.92 0.34 1 777 1518534585.07 1087822496.67
GM3SI1 2816 9.49 0.39 1 688 1541657197.89 1055815576.89
GM3SI1 2688 9.06 0.44 1 523 962083839.27 613046724.73
GM3SI1 2560 8.63 0.50 1 647 1036335415.79 803753506.41
GM3SI1 2554 8.61 0.50 1 644 1045626482.09 808726052.61
GM3SI1 2432 8.20 0.56 1 590 1286567223.08 1127400118.46
GM3SI1 2304 7.77 0.62 1 659 1804887008.05 1511727956.79
GM3SI1 2176 7.34 0.70 1 1192 2610875290.92 1763210499.72
GM3SI1 2048 6.91 0.77 1 1391 3207920113.11 2284718537.94
GM3SI1 1920 6.48 0.86 1 1437 4574037358.02 4041962714.96
GM3SI1 1792 6.05 0.96 1 1321 5687388263.15 5184339727.33
GM3SI1 1792 6.05 0.96 1 1321 5687388263.15 5184339727.33
GM3SI1 1739 5.87 1.00 1 1607 6081923632.02 5320572719.28
GM3SI1 1739 5.87 1.00 1 1607 6081923632.02 5320572719.28
GM3SI1 1664 5.62 1.06 1 1705 6088675833.19 5254648505.01
GM3SI1 1280 4.32 1.48 1 2280 9154085021.83 8470287234.47
GM3SI1 1536 5.19 1.18 1 3341 12461707857.18 11180167785.09
GM3SI1 1152 3.89 1.67 1 2218 14712739654.89 13888045218.97
GM3SI1 1408 4.76 1.32 1 2577 11555439160.99 10473031874.19
GM3SI1 1024 3.46 1.90 1 2570 8335991485.05 7309434910.97
GM3SI1 1280 4.32 1.48 1 2280 9154085021.83 8470287234.47
