model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
GM2 186 5.84 14160185.06 4437744014.50 295883476.47
GM2 223 6.53 21086562.77 4265086404.81 382611434.41
GM2 256 7.66 25872301.41 5229794706.19 474508014.36
GM2 273 8.26 28195776.10 5770798086.35 540546464.47
GM2 345 13.02 69393778.84 14195974470.49 1384896178.72
GM2 384 14.83 91512733.61 17040891240.63 1587915780.61
GM2 454 18.13 140552046.43 21748850851.40 2594592223.96
GM2 512 22.15 204985499.66 30945336126.56 4029025160.88
GM2 635 30.27 464897221.47 50701114504.18 7152341027.22
GM2 640 30.72 476473369.97 52153040550.89 7448444982.86
GM2 768 40.13 979535741.55 80416390327.71 11378636603.24
GM2 896 45.47 1306444744.96 84227159774.44 13231943171.69
GM2 972 50.59 1699811129.32 98522122700.52 15021332956.57
GM2 1024 71.51 3658942848.26 250027959306.90 38704620827.83
GM2 1152 82.75 5306405501.89 305228900187.13 45017822438.09
GM2 1280 95.87 7392833057.78 379511868549.91 57232024224.71
GM2 1408 106.41 9081985336.18 426411797759.73 62077315012.73
GM2 1536 118.71 11137905922.71 490682341321.03 73278159553.69
GM2 1664 126.53 12838267936.57 508948858414.63 65023194367.24
GM2 1739 127.29 12982715943.99 485836055355.82 44535062099.98
GM2 1792 130.26 12934931676.99 489511216341.04 42601192962.60
GM2 1920 136.18 12789913366.47 482460720675.48 40260110550.64
GM2 2048 142.03 12729423499.36 475493764400.21 39187645354.26
GM2 2176 152.27 12738079140.53 511229455160.21 43134520283.16
GM2 2304 161.00 12783580194.04 529644311890.34 46384693275.52
GM2 2432 169.36 12825367810.34 544620893303.61 47396062090.97
GM2 2554 177.89 12839203235.46 563457738386.39 49154323470.40
GM2 2560 178.25 12836660510.85 564118185928.87 49194953635.90
GM2 2688 185.00 12820524188.56 562905720394.96 47511479572.18
GM2 2816 191.85 12753549433.49 562120822048.49 46890424068.76
GM2 2944 200.44 12713085696.75 575194307482.83 48290156998.13
GM2 3072 211.38 12782276795.89 607366986014.42 50784203149.02
GM2 3195 225.86 13517132151.65 666900388370.71 60152627555.10
GM2 3200 226.30 13517857403.16 668253469008.43 60348269577.14
GM2 3328 237.22 13554325366.12 694725728530.26 64539861195.92
GM2 3456 249.50 13814148241.54 731624962768.75 69423228530.14
GM2 3584 258.87 13896499683.13 742153214691.41 71346321957.24
GM2 3712 269.13 13926912582.08 757461557033.08 74771830111.51
GM2 3840 279.85 13953145052.86 775078069000.19 77771330576.29
