model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM2SI1 2592 8.74 0.48 1 944 1822007297.97 1426043284.62
GM2SI1 2576 8.69 0.49 1 971 1901993796.58 1490447495.56
GM2SI1 2560 8.63 0.50 1 989 1946871333.60 1526738050.41
GM2SI1 2554 8.61 0.50 1 974 1956016748.28 1528904354.62
GM2SI1 2544 8.58 0.50 1 964 1997562694.13 1583898397.52
GM2SI1 2528 8.52 0.51 1 989 2032774638.63 1626498509.60
GM2SI1 2512 8.47 0.52 1 963 2075208036.80 1675102993.31
GM2SI1 2496 8.42 0.53 1 939 2151915730.60 1756785583.32
GM2SI1 2480 8.36 0.53 1 879 2205339308.67 1818258850.48
GM2SI1 2464 8.31 0.54 1 895 2256657548.90 1894811227.97
GM2SI1 2448 8.26 0.55 1 892 2304159536.11 1951091243.75
GM2SI1 2432 8.20 0.56 1 872 2383628060.52 1998044635.50
GM2SI1 2416 8.15 0.57 1 866 2441851488.51 2066619539.75
GM2SI1 2400 8.09 0.57 1 826 2508783852.68 2128956482.89
