model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM1 3776 12.72 0.08 1 550 1791996915.14 1493439362.51
GM1 3712 12.51 0.10 1 512 1867652455.68 1572336201.82
GM1 3648 12.29 0.11 1 570 1989564453.07 1705507550.08
GM1 3584 12.08 0.13 1 592 2101317944.75 1835699273.56
GM1 3520 11.86 0.15 1 894 2541565876.34 1987166022.57
GM1 3456 11.65 0.17 1 968 2839620297.09 1977325854.06
GM1 3392 11.43 0.19 1 1046 3233627184.72 1978382130.56
GM1 3328 11.22 0.21 1 1020 3735497783.38 2247427307.46
GM1 3264 11.00 0.23 1 818 2487100535.66 1314155363.45
GM1 3200 10.79 0.25 1 747 2128475340.73 1084285081.00
GM1 3136 10.57 0.27 1 1004 2867187036.18 1598360067.25
GM1 3008 10.14 0.31 1 1710 3787621069.57 2362150416.62
GM1 2944 9.92 0.34 1 1847 4016014096.52 2598012783.47
GM1 2880 9.71 0.36 1 1894 5069180042.26 3657728876.27
GM1 2752 9.28 0.41 1 2665 8171965928.64 6737593839.71
GM1 2688 9.06 0.44 1 3109 8995059500.93 7986613888.62
GM1 2624 8.85 0.47 1 2490 10068227813.80 9462085611.60
GM1 2560 8.63 0.50 1 1864 9849503592.92 9465951153.18
GM1 2554 8.61 0.50 1 1849 9925077904.14 9553873179.43
GM1 2496 8.42 0.53 1 1837 9952984777.54 9610500337.79
GM1 2432 8.20 0.56 1 1970 9077150068.42 8580768070.75
GM1 2368 7.99 0.59 1 2563 11402508457.48 10625724212.18
GM1 2304 7.77 0.62 1 3315 11372096240.27 10285616860.47
GM1 2240 7.56 0.66 1 3764 11965028261.83 10688502879.49
GM1 2176 7.34 0.70 1 3137 7449414204.90 6341338338.82
GM1 2112 7.12 0.73 1 3116 7062142304.49 5969196593.94
GM1 2048 6.91 0.77 1 2933 6844999723.25 5640087148.19
GM1 1984 6.69 0.82 1 2362 6831182644.46 5770426640.57
GM1 1920 6.48 0.86 1 2529 7546594308.95 6455038386.48
GM1 1856 6.26 0.91 1 2895 9415998566.96 8336341100.88
GM1 1792 6.05 0.96 1 3348 10113795321.43 8897723124.48
GM1 1739 5.87 1.00 1 3625 12262924434.85 11047744752.61
GM1 1728 5.83 1.01 1 3622 12655466366.29 11439252680.52
GM1 1664 5.62 1.06 1 3350 12757806990.23 11593222057.05
GM1 1600 5.40 1.12 1 3555 10619668123.76 9511820367.06
GM1 1536 5.19 1.18 1 3800 17555462131.82 16359551289.86
GM1 1472 4.97 1.25 1 3446 16133329808.69 15082335685.68
GM1 1408 4.76 1.32 1 2797 8840335456.64 7962653832.24
GM1 1344 4.54 1.40 1 2894 10961900014.17 9918737890.71
GM1 1280 4.32 1.48 1 2999 11497359778.69 10464050850.77
GM1 1216 4.11 1.57 1 2337 10401706464.13 9641995215.44
GM1 1152 3.89 1.67 1 1967 10068604763.40 9371931178.68
GM1 1088 3.68 1.78 1 2340 8642160707.47 7718408189.87
GM1 1024 3.46 1.90 1 1941 9497637624.28 8759467800.67
