model output z time halo
P0 3840 0.06 12.94 1
P0 3456 0.17 11.65 1
P0 3195 0.25 10.77 1
P0 3072 0.29 10.35 1
P0 2688 0.44 9.06 1
P0 2554 0.50 8.61 1
P0 2304 0.62 7.77 1
P0 1920 0.86 6.48 1
P0 1739 1.00 5.87 1
P0 1536 1.18 5.19 1
P0 1152 1.67 3.89 1
P0 972 2.00 3.29 1
P0 768 2.52 2.60 2
P0 635 3.00 2.15 2
P0 454 4.00 1.55 2
P0 384 4.58 1.31 2
P0 345 4.99 1.18 1
P0 273 5.99 0.94 1
P0 223 6.98 0.77 1
P0 186 7.98 0.64 1
