model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
P0 3456 11.65 0.17 1 736 1517048932.45 957924128.65
P0 3195 10.77 0.25 1 747 1729171279.24 1090786031.73
P0 3072 10.35 0.29 1 1003 2421421811.45 1210710980.58
P0 2688 9.06 0.44 1 2487 7769231965.47 6183008809.70
P0 2554 8.61 0.50 1 2873 8790246315.79 7864907521.35
P0 2304 7.77 0.62 1 2302 9409647541.84 8819219483.68
P0 1920 6.48 0.86 1 2900 9216551486.79 8089292032.49
P0 1739 5.87 1.00 1 3532 11799084214.49 10421904717.89
P0 1536 5.19 1.18 1 3759 17069940665.97 15887618393.07
