model output z time halo
GM1 4032 0.02 13.59 1
GM1 3968 0.03 13.37 1
GM1 3904 0.05 13.15 1
GM1 3840 0.06 12.94 1
GM1 3776 0.08 12.72 1
GM1 3712 0.10 12.51 1
GM1 3648 0.11 12.29 1
GM1 3584 0.13 12.08 1
GM1 3520 0.15 11.86 1
GM1 3456 0.17 11.65 1
GM1 3392 0.19 11.43 1
GM1 3328 0.21 11.22 1
GM1 3264 0.23 11.00 1
GM1 3200 0.25 10.79 1
GM1 3136 0.27 10.57 1
GM1 3008 0.31 10.14 1
GM1 2944 0.34 9.92 1
GM1 2880 0.36 9.71 1
GM1 2816 0.39 9.49 1
GM1 2752 0.41 9.28 1
GM1 2688 0.44 9.06 1
GM1 2624 0.47 8.85 1
GM1 2560 0.50 8.63 1
GM1 2554 0.50 8.61 1
GM1 2496 0.53 8.42 1
GM1 2432 0.56 8.20 1
GM1 2368 0.59 7.99 1
GM1 2304 0.62 7.77 1
GM1 2240 0.66 7.56 1
GM1 2176 0.70 7.34 1
GM1 2112 0.73 7.12 1
GM1 2048 0.77 6.91 1
GM1 1984 0.82 6.69 1
GM1 1920 0.86 6.48 1
GM1 1856 0.91 6.26 1
GM1 1792 0.96 6.05 1
GM1 1739 1.00 5.87 1
GM1 1728 1.01 5.83 1
GM1 1664 1.06 5.62 1
GM1 1600 1.12 5.40 1
GM1 1536 1.18 5.19 1
GM1 1472 1.25 4.97 1
GM1 1408 1.32 4.76 1
GM1 1344 1.40 4.54 1
GM1 1280 1.48 4.32 1
GM1 1216 1.57 4.11 1
GM1 1152 1.67 3.89 1
GM1 1088 1.78 3.68 1
GM1 1024 1.90 3.46 1
GM1 972 2.00 3.29 2
GM1 960 2.03 3.25 2
GM1 896 2.17 3.03 2
GM1 832 2.33 2.82 2
GM1 704 2.73 2.39 1
GM1 640 2.98 2.17 1
GM1 576 3.27 1.96 1
GM1 512 3.61 1.74 1
GM1 454 4.00 1.55 1
GM1 448 4.04 1.52 1
GM1 384 4.58 1.31 1
GM1 320 5.30 1.09 2
GM1 273 5.99 0.94 2
GM1 256 6.29 0.88 2
GM1 192 7.80 0.66 2
GM1 186 7.98 0.64 2
