GM2 3712 12.51 0.10 1 1499 4965822909.02 4370051487.87
GM2 3584 12.08 0.13 1 910 4864168598.24 4549209751.01
GM2 3456 11.65 0.17 1 925 5259334391.55 4845208160.68
GM2 3328 11.22 0.21 1 1214 4864735719.67 4285088712.73
GM2 3200 10.79 0.25 1 1396 4857979449.76 4059297494.94
GM2 3195 10.77 0.25 1 1393 4845449543.53 4035761066.10
GM2 3072 10.35 0.29 1 225 518934667.84 353816252.11
GM2 2944 9.92 0.34 1 211 279110597.46 224150854.43
GM2 2816 9.49 0.39 1 325 440326705.25 338664918.80
GM2 2688 9.06 0.44 1 521 882708162.86 681985170.81
GM2 2560 8.63 0.50 1 859 1605738124.76 1300386038.39
GM2 2554 8.61 0.50 1 872 1616369930.27 1318806484.53
GM2 2432 8.20 0.56 1 962 1940632796.41 1697862205.70
GM2 2304 7.77 0.62 1 1428 3257879051.98 2731520941.99
GM2 2176 7.34 0.70 1 1475 5010183313.42 3762961267.03
GM2 2048 6.91 0.77 1 1731 4117642887.87 3203669227.05
GM2 1920 6.48 0.86 1 2195 6055102088.22 5105516962.67
GM2 1792 6.05 0.96 1 2089 7621596506.86 7105391037.63
GM2 1739 5.87 1.00 1 2136 8176560261.19 7694972911.76
GM2 1664 5.62 1.06 1 2846 10534379720.55 9761599113.82
GM2 1536 5.19 1.18 1 4092 15439701346.48 14157001024.01
GM2 1408 4.76 1.32 1 3144 13578241031.54 12513868961.81
GM2 1280 4.32 1.48 1 2815 11894402997.01 11122528585.99
GM2 1280 4.32 1.48 1 2815 11894402997.01 11122528585.99
GM2 1152 3.89 1.67 1 2443 13506935239.25 12612477850.98
GM2 1152 3.89 1.67 1 2443 13506935239.25 12612477850.98
GM2 1024 3.46 1.90 1 2821 12163782035.27 11053560078.82
GM2 972 3.29 2.00 1 1524 4008819204.06 3489473243.55
GM2 896 3.03 2.17 2 1283 3312030310.93 2736611218.99
GM2 768 2.60 2.52 1 1147 3231096746.08 2533644085.85
GM2 512 1.74 3.61 1 553 1065541055.28 669863464.15
GM2 454 1.55 4.00 2 261 442762574.39 262884002.68
GM2 384 1.31 4.58 2 34 52480948.11 23392925.46
