model iord timeinclumps nclumps
P0 479247 1.29 1
P0 479248 2.58 1
P0 479256 0.84 1
P0 479258 3.04 1
P0 479260 1.29 1
P0 479261 1.29 1
P0 479262 0.84 1
P0 479263 2.58 1
P0 479264 1.71 2
P0 479268 0.84 1
P0 479269 1.74 1
P0 479270 0.84 1
P0 479276 2.58 1
P0 479277 0.45 1
P0 479279 1.26 2
P0 479280 1.29 1
P0 479281 2.58 1
P0 479282 1.29 1
P0 479285 2.58 1
P0 479288 2.17 2
P0 479290 2.58 1
P0 479292 3.46 2
P0 479303 2.58 1
P0 479304 2.58 1
P0 479318 3.00 1
P0 479319 3.00 1
P0 479320 0.84 1
P0 479324 0.45 1
P0 479325 2.58 1
P0 479326 1.74 1
P0 479328 3.46 2
P0 479329 0.88 1
P0 479332 2.55 2
P0 479333 1.29 1
P0 479334 1.29 1
P0 479335 2.58 1
P0 479336 1.74 1
P0 479337 3.00 1
P0 479339 0.84 1
P0 479340 1.30 1
P0 479342 0.84 1
P0 479348 2.58 1
P0 479349 2.58 1
P0 479352 1.71 1
P0 479357 1.74 1
P0 479359 2.58 1
P0 479362 1.74 1
P0 479363 2.58 1
P0 479365 1.29 1
P0 479367 0.84 1
P0 479369 2.58 1
P0 479373 2.58 1
P0 479374 2.58 1
P0 479376 2.58 1
P0 479377 0.88 1
P0 479378 2.58 1
P0 479379 1.74 1
P0 479385 1.29 1
P0 479386 2.58 1
P0 479388 1.71 1
P0 479389 2.58 1
P0 479391 2.58 1
P0 479392 1.29 1
P0 479393 0.84 1
P0 479394 2.58 1
P0 479395 1.74 1
P0 479396 1.71 1
P0 479397 2.58 1
P0 479398 1.75 2
P0 479399 2.58 1
P0 479400 3.46 2
P0 479401 0.84 1
P0 479402 0.84 1
P0 479404 2.58 1
P0 479405 1.74 1
P0 479407 1.29 1
P0 479409 2.58 1
P0 479413 2.58 1
P0 479414 0.84 1
P0 479415 2.58 1
P0 479416 2.17 2
P0 479418 2.17 2
P0 479419 2.58 1
P0 479424 3.88 1
P0 479426 2.13 2
P0 479427 1.29 1
P0 479429 0.84 1
P0 479432 0.84 1
P0 479434 1.74 1
P0 479437 0.84 1
P0 479438 1.29 1
P0 479443 0.84 1
P0 479444 2.58 1
P0 479445 1.74 1
P0 479447 2.58 1
P0 479449 1.74 1
P0 479450 0.84 1
P0 479452 1.29 1
P0 479453 2.58 1
P0 479454 2.58 1
P0 479456 1.71 2
P0 479457 0.45 1
P0 479459 1.29 1
P0 479460 2.62 2
P0 479461 1.74 1
P0 479462 1.33 2
P0 479466 1.29 1
P0 479470 1.74 1
P0 479471 1.33 2
P0 479475 0.45 1
P0 479476 3.88 1
P0 479477 0.84 1
P0 479482 1.71 2
P0 479485 1.29 1
P0 479486 2.58 1
P0 479488 0.84 1
P0 479489 1.29 1
P0 479490 0.45 1
P0 479491 1.74 1
P0 479493 1.33 2
P0 479496 0.84 1
P0 479499 2.17 2
P0 479502 2.58 1
P0 479503 0.42 1
P0 479506 0.45 1
P0 479508 1.29 1
P0 479510 2.58 1
P0 479511 0.84 1
P0 479512 0.84 1
P0 479513 1.74 1
P0 479514 2.13 2
P0 479515 1.74 1
P0 479516 1.74 1
P0 479517 2.58 1
P0 479544 2.17 2
P0 479550 2.58 1
P0 479551 1.29 1
P0 479574 1.72 2
P0 479580 1.26 2
P0 479581 2.16 1
P0 479587 1.71 2
P0 479610 3.88 1
P0 479612 1.74 1
P0 479617 1.29 1
P0 479618 2.14 2
P0 479622 2.58 1
P0 479623 2.59 2
P0 479624 2.58 1
P0 479634 2.58 1
P0 479640 0.84 1
P0 479641 0.84 1
P0 479646 2.58 1
P0 479647 0.84 1
P0 479648 1.74 1
P0 479654 2.58 1
P0 479658 2.17 2
P0 479660 2.13 2
P0 479662 0.84 1
P0 479664 1.74 1
P0 479670 0.84 1
P0 479676 0.88 1
P0 479677 0.45 1
P0 479678 2.58 1
P0 479683 2.16 1
P0 479684 1.74 1
P0 479688 1.74 1
P0 479689 2.13 2
P0 479691 2.58 1
P0 479692 2.17 2
P0 479695 3.00 1
P0 479696 2.17 2
P0 479697 0.84 1
P0 479698 0.84 1
P0 479699 3.46 2
P0 479700 2.13 2
P0 479708 2.58 1
P0 479713 0.84 1
P0 479715 3.88 1
P0 479718 1.29 1
P0 479719 1.29 1
P0 479720 2.17 2
P0 479721 2.58 1
P0 479725 1.71 1
P0 479726 1.74 1
P0 479727 1.29 1
P0 479728 3.00 1
P0 479730 2.14 2
P0 479731 2.58 1
P0 479732 2.58 1
P0 479733 0.45 1
P0 479735 2.13 2
P0 479962 2.74 1
P0 479968 1.90 1
P0 479989 0.61 1
P0 479991 2.74 1
P0 479998 1.29 1
P0 479999 0.61 1
P0 480003 1.90 1
P0 480028 1.90 1
P0 480029 0.61 1
P0 480033 2.13 1
P0 480035 0.61 1
P0 480063 0.45 1
P0 480071 1.29 1
P0 480083 1.90 1
P0 480097 1.29 1
P0 480107 1.52 2
P0 480111 0.61 1
P0 480137 1.29 1
P0 480155 0.61 1
P0 480169 1.29 1
P0 480170 1.90 1
P0 480171 1.30 1
P0 480173 1.90 1
P0 480175 1.29 1
P0 480179 0.61 1
P0 480187 0.61 1
P0 480188 0.61 1
P0 480196 1.29 1
P0 480203 0.61 1
P0 480208 0.61 1
P0 480213 0.61 1
P0 480215 0.61 1
P0 480218 1.90 1
P0 480219 1.90 1
P0 480224 1.90 1
P0 480225 0.61 1
P0 480227 1.74 1
P0 480229 0.61 1
P0 480232 0.45 1
P0 480238 2.74 1
P0 480243 1.90 1
P0 480249 0.61 1
P0 480258 1.90 1
P0 480266 1.90 1
P0 480269 1.90 1
P0 480271 1.74 1
P0 480273 2.13 1
P0 480275 1.90 1
P0 480278 1.90 1
P0 480280 1.90 1
P0 480281 2.74 1
P0 480286 1.90 1
P0 480289 3.19 1
P0 480291 1.90 1
P0 480292 0.61 1
P0 480293 1.90 1
P0 480295 0.61 1
P0 480301 1.29 1
P0 480302 1.29 1
P0 480303 1.29 1
P0 480310 1.74 2
P0 480315 2.35 2
P0 480316 1.29 1
P0 480321 1.90 1
P0 480324 1.90 1
P0 480327 1.29 1
P0 480331 1.90 1
P0 480337 0.45 1
P0 480342 1.90 1
P0 480347 1.29 1
P0 480351 1.29 1
P0 480355 1.90 1
P0 480356 1.45 2
P0 480369 0.61 1
P0 480374 1.90 1
P0 480375 1.90 1
P0 480378 0.61 1
P0 480379 0.61 1
P0 480381 3.64 2
P0 480386 1.30 1
P0 480389 0.60 1
P0 480390 0.68 1
P0 480391 0.68 1
P0 480392 1.98 1
P0 480393 2.59 2
P0 480397 1.30 1
P0 480398 2.14 2
P0 480399 1.30 1
P0 480401 1.98 1
P0 480403 1.30 1
P0 480404 1.30 1
P0 480405 1.30 1
P0 480406 1.30 1
P0 480407 1.30 1
P0 480409 1.30 1
P0 480410 1.98 1
P0 480413 1.90 1
P0 480415 2.14 2
P0 480416 1.06 2
P0 480417 1.98 1
P0 480421 1.30 1
P0 480428 1.98 1
P0 480429 1.30 1
P0 480431 1.90 1
P0 480433 3.27 2
P0 480436 1.75 2
P0 480437 1.30 1
P0 480438 1.30 1
P0 480439 1.30 1
P0 480440 0.68 1
P0 480443 0.68 1
P0 480445 1.98 1
P0 480446 2.59 1
P0 480448 2.58 1
P0 480449 0.60 1
P0 480452 2.59 2
P0 480453 1.30 1
P0 480454 1.98 1
P0 480455 2.59 2
P0 480456 1.90 1
P0 480458 1.30 1
P0 480459 1.91 2
P0 480460 1.90 1
P0 480463 1.30 1
P0 480467 2.58 1
P0 480469 1.30 1
P0 480471 1.28 2
P0 480472 1.98 1
P0 480473 0.60 1
P0 480475 1.98 1
P0 480476 1.98 1
P0 480477 0.60 1
P0 480478 0.61 1
P0 480479 1.30 1
P0 480480 1.98 1
P0 480481 1.30 1
P0 480482 1.30 1
P0 480483 2.58 1
P0 480484 1.98 1
P0 480485 3.19 2
P0 480486 0.68 1
P0 480487 1.98 1
P0 480488 1.30 1
P0 480489 1.29 1
P0 480490 0.68 1
P0 480491 1.29 1
P0 480492 1.29 1
P0 480494 1.30 1
P0 480495 3.87 2
P0 480496 0.60 1
P0 480497 1.90 1
P0 480498 1.90 1
P0 480499 1.29 1
P0 480500 1.90 2
P0 480503 1.90 1
P0 480505 1.30 1
P0 480506 3.88 1
P0 480507 1.90 1
P0 480508 0.68 1
P0 480509 2.59 1
P0 480511 1.30 1
P0 480512 0.68 1
P0 480517 1.74 1
P0 480519 0.68 1
P0 480520 3.19 2
P0 480521 1.90 1
P0 480522 2.13 1
P0 480523 1.30 1
P0 480524 1.29 1
P0 480529 0.84 1
P0 480530 1.30 1
P0 480532 1.90 1
P0 480533 1.90 1
P0 480536 1.98 1
P0 480537 1.98 1
P0 480538 1.28 2
P0 480539 1.90 1
P0 480540 1.90 1
P0 480542 2.59 1
P0 480543 2.58 1
P0 480544 0.68 1
P0 480545 1.90 1
P0 480548 1.98 1
P0 480549 0.60 1
P0 480550 1.90 1
P0 480551 0.60 1
P0 480553 2.43 2
P0 480554 0.68 1
P0 480555 0.68 1
P0 480557 1.30 1
P0 480559 1.91 2
P0 480560 1.98 1
P0 480561 1.90 1
P0 480562 1.90 1
P0 480564 0.61 1
P0 480567 1.30 1
P0 480569 1.90 1
P0 480571 1.29 1
P0 480572 3.26 2
P0 480574 0.60 1
P0 480575 1.30 1
P0 480579 2.57 3
P0 480580 1.90 1
P0 480581 3.80 2
P0 480584 1.30 1
P0 480586 0.61 1
P0 480587 2.58 1
P0 480590 1.52 2
P0 480591 0.61 1
P0 480592 1.28 2
P0 480593 1.28 2
P0 480594 2.35 2
P0 480595 0.68 1
P0 480596 1.30 1
P0 480597 0.68 1
P0 480598 1.89 2
P0 480599 0.68 1
P0 480600 1.28 2
P0 480601 0.60 1
P0 480602 1.30 1
P0 480603 1.90 1
P0 480606 0.60 1
P0 480607 0.60 1
P0 480609 0.68 1
P0 480610 1.98 1
P0 480612 1.90 1
P0 480613 0.60 1
P0 480614 0.60 1
P0 480618 1.90 1
P0 480619 1.90 1
P0 480620 1.90 1
P0 480622 1.30 1
P0 480626 1.90 1
P0 480627 0.60 1
P0 480635 0.61 1
P0 480636 1.28 2
P0 480637 1.98 1
P0 480638 1.98 1
P0 480639 1.30 1
P0 480641 0.61 1
P0 480642 0.60 1
P0 480643 1.90 1
P0 480644 1.90 1
P0 480645 1.90 1
P0 480648 1.28 2
P0 480651 1.91 2
P0 480653 0.68 1
P0 480654 1.90 1
P0 480656 1.98 1
P0 480657 1.98 1
P0 480661 1.28 2
P0 480663 0.60 1
P0 480664 0.60 1
P0 480666 1.21 2
P0 480667 1.30 1
P0 480669 1.90 1
P0 480670 1.90 1
P0 480671 1.30 1
P0 480672 1.30 1
P0 480674 0.68 1
P0 480676 1.30 1
P0 480678 1.28 2
P0 480679 2.16 3
P0 480680 1.90 1
P0 480684 0.60 1
P0 480685 0.60 1
P0 480686 0.60 1
P0 480687 1.90 1
P0 480688 1.30 1
P0 480692 0.60 1
P0 480695 1.29 1
P0 480696 2.58 1
P0 480697 3.19 1
P0 480699 1.21 2
P0 480702 1.90 1
P0 480703 1.30 1
P0 480705 1.90 1
P0 480708 1.90 1
P0 480709 0.68 1
P0 480713 1.45 2
P0 480714 1.30 1
P0 480715 2.95 3
P0 480717 2.14 2
P0 480718 0.68 1
P0 480720 1.98 1
P0 480721 1.30 1
P0 480723 0.60 1
P0 480724 1.29 1
P0 480725 1.90 1
P0 480727 0.60 1
P0 480728 1.30 1
P0 480729 3.19 2
P0 480730 0.60 1
P0 480731 1.13 2
P0 480732 0.60 1
P0 480733 1.30 1
P0 480735 1.90 1
P0 480737 1.30 1
P0 480738 1.28 2
P0 480740 1.28 2
P0 480741 1.28 2
P0 480742 1.98 1
P0 480743 1.29 1
P0 480744 2.35 2
P0 480745 1.90 1
P0 480750 0.60 1
P0 480751 1.28 2
P0 480752 0.68 1
P0 480754 1.30 1
P0 480756 0.60 1
P0 480758 0.68 1
P0 480760 3.87 1
P0 480762 1.89 2
P0 480763 1.30 1
P0 480764 0.60 1
P0 480765 0.68 1
P0 480766 0.60 1
P0 480767 0.68 1
P0 480768 1.30 1
P0 480770 1.90 1
P0 480771 1.30 1
P0 480774 1.90 1
P0 480775 3.18 2
P0 480776 1.90 1
P0 480777 1.30 1
P0 480780 2.58 1
P0 480781 2.58 1
P0 480782 0.60 1
P0 480783 1.30 1
P0 480784 0.60 1
P0 480785 1.90 1
P0 480786 0.60 1
P0 480787 0.60 1
P0 480788 0.68 1
P0 480789 1.30 1
P0 480790 1.90 1
P0 480792 2.58 1
P0 480793 0.60 1
P0 480796 1.30 1
P0 480797 0.45 1
P0 480798 1.28 2
P0 480799 0.68 1
P0 480804 1.90 1
P0 480805 3.19 2
P0 480806 1.98 1
P0 480807 1.90 1
P0 480808 1.30 1
P0 480810 1.28 2
P0 480811 1.28 2
P0 480812 1.90 1
P0 480813 1.90 1
P0 480814 1.52 2
P0 480818 1.90 1
P0 480819 0.60 1
P0 480820 2.51 2
P0 480825 2.58 1
P0 480826 1.30 1
P0 480832 0.60 1
P0 480833 0.61 1
P0 480840 0.84 1
P0 480844 1.29 1
P0 480848 2.59 2
P0 480850 1.30 1
P0 480861 0.88 1
P0 480868 0.60 1
P0 480869 1.45 2
P0 480874 0.61 1
P0 480875 0.60 1
P0 480878 0.68 1
P0 480879 1.29 1
P0 480889 0.68 1
P0 480891 0.60 1
P0 480892 0.68 1
P0 480897 1.28 2
P0 480898 0.60 1
P0 480900 0.68 1
P0 480903 0.61 1
P0 480910 0.60 1
P0 480911 0.60 1
P0 480917 1.30 1
P0 480928 0.61 1
P0 480930 1.98 1
P0 480935 1.30 1
P0 480940 0.60 1
P0 480941 1.90 1
P0 480947 1.29 1
P0 480950 1.29 1
P0 480953 1.90 1
P0 480956 0.61 1
P0 480960 1.90 1
P0 480961 1.30 1
P0 480963 1.90 1
P0 480965 0.61 1
P0 480969 1.30 1
P0 480970 0.60 1
P0 480971 1.30 1
P0 480976 2.57 3
P0 480977 1.30 1
P0 480978 0.61 1
P0 480988 0.45 1
P0 480989 0.60 1
P0 480996 0.60 1
P0 480999 0.60 1
P0 481001 0.68 1
P0 481005 1.21 2
P0 481006 1.90 1
P0 481007 1.98 1
P0 481012 0.60 1
P0 481014 1.29 1
P0 481018 0.60 1
P0 481019 0.60 1
P0 481020 0.68 1
P0 481026 1.90 1
P0 481028 1.29 1
P0 481031 0.60 1
P0 481043 1.97 2
P0 481048 1.30 1
P0 481055 1.29 1
P0 481056 1.98 1
P0 481057 1.28 2
P0 481072 1.30 1
P0 481074 1.28 2
P0 481077 2.58 1
P0 481079 0.45 1
P0 481080 1.30 1
P0 481081 1.30 1
P0 481085 1.30 1
P0 481086 0.68 1
P0 481088 1.30 1
P0 481091 1.30 1
P0 481092 0.61 1
P0 481096 2.14 2
P0 481098 2.36 2
P0 481099 0.60 1
P0 481100 0.60 1
P0 481101 0.68 1
P0 481102 0.60 1
P0 481104 1.30 1
P0 481106 1.30 1
P0 481114 1.29 1
P0 481115 1.30 1
P0 481116 1.29 1
P0 481122 0.60 1
P0 481123 1.30 1
P0 481124 1.30 1
P0 481128 0.60 1
P0 481129 0.61 1
P0 481131 0.68 1
P0 481133 1.13 2
P0 481134 0.60 1
P0 481135 0.61 1
P0 481139 1.30 1
P0 481141 1.30 1
P0 481145 1.98 1
P0 481146 0.68 1
P0 481148 2.59 2
P0 481154 0.68 1
P0 481155 1.29 1
P0 481156 0.68 1
P0 481158 0.61 1
P0 481166 1.30 1
P0 481168 3.27 2
P0 481171 0.68 1
P0 481174 0.84 1
P0 481176 1.30 1
P0 481182 0.68 1
P0 481183 1.30 1
P0 481185 1.29 1
P0 481188 0.61 1
P0 481190 2.58 1
P0 481200 1.30 1
P0 481203 0.45 1
P0 481206 1.90 1
P0 481207 1.30 1
P0 481208 1.30 1
P0 481211 0.68 1
P0 481216 0.68 1
P0 481217 0.68 1
P0 481225 1.30 1
P0 481228 1.30 1
P0 481242 2.58 1
P0 481248 1.29 1
P0 481256 3.04 3
P0 481263 1.30 1
P0 481264 1.30 1
P0 481265 1.30 1
P0 481266 2.75 3
P0 481281 1.98 1
P0 481284 1.30 1
P0 481286 3.20 2
P0 481288 0.60 1
P0 481290 1.29 1
P0 481295 1.98 1
P0 481296 1.29 1
P0 481304 0.60 1
P0 481306 1.30 1
P0 481308 1.30 1
P0 481312 1.30 1
P0 481313 1.30 1
P0 481314 0.45 1
P0 481320 2.59 2
P0 481321 1.30 1
P0 481325 1.30 1
P0 481327 0.45 1
P0 481328 1.30 1
P0 481334 0.68 1
P0 481335 1.30 1
P0 481356 1.30 1
P0 481358 4.49 3
P0 481360 1.30 1
P0 481364 1.30 1
P0 481378 0.68 1
P0 481379 0.68 1
P0 481383 1.30 1
P0 481385 1.30 1
P0 481392 1.30 1
P0 481405 1.30 1
P0 481406 0.61 1
P0 481422 1.30 1
P0 481423 1.30 1
P0 481425 1.30 1
P0 481431 1.30 1
P0 481442 1.29 1
P0 481444 0.42 1
P0 481446 1.30 1
P0 481448 1.30 1
P0 481453 0.68 1
P0 481454 1.98 1
P0 481458 1.91 2
P0 481460 1.29 1
P0 481464 0.68 1
P0 481467 1.30 1
P0 481474 0.68 1
P0 481479 2.59 2
P0 481484 0.61 1
P0 481489 0.60 1
P0 481492 1.30 1
P0 481495 1.30 1
P0 481496 0.68 1
P0 481505 1.98 1
P0 481525 0.68 1
P0 481546 2.59 2
P0 481548 1.30 1
P0 481551 1.29 1
P0 481553 1.30 1
P0 481554 1.98 1
P0 481557 1.30 1
P0 481565 1.30 1
P0 481566 1.30 1
P0 481567 0.68 1
P0 481569 0.61 1
P0 481580 1.29 1
P0 481586 1.30 1
P0 481587 1.91 2
P0 481611 1.74 1
P0 481612 1.30 1
P0 481613 1.98 1
P0 481623 0.84 1
P0 481626 0.68 1
P0 481632 1.97 2
P0 481633 1.30 1
P0 481634 0.42 1
P0 481639 0.68 1
P0 481647 1.30 1
P0 481653 0.68 1
P0 481656 1.30 1
P0 481662 1.30 1
P0 481663 2.59 2
P0 481670 1.30 1
P0 481673 1.29 1
P0 481692 1.74 1
P0 481693 0.61 1
P0 481694 1.30 1
P0 481701 1.30 1
P0 481704 1.30 1
P0 481706 1.30 1
P0 481711 0.84 1
P0 481712 1.30 1
P0 481714 2.59 2
P0 481722 0.68 1
P0 481729 1.30 1
P0 481730 2.58 1
P0 481732 1.52 2
P0 481745 1.30 1
P0 481748 2.59 2
P0 481752 1.97 2
P0 481761 1.30 1
P0 481771 0.68 1
P0 481776 1.30 1
P0 481780 0.68 1
P0 481786 1.98 1
P0 481789 1.30 1
P0 481795 0.68 1
P0 481796 1.29 1
P0 481798 0.68 1
P0 481799 0.42 1
P0 481806 2.59 2
P0 481807 2.59 1
P0 481810 1.56 2
P0 481813 1.30 1
P0 481823 1.30 1
P0 481828 1.28 2
P0 481829 0.68 1
P0 481830 0.68 1
P0 481833 1.98 1
P0 481834 1.30 1
P0 481837 1.29 1
P0 481860 1.98 1
P0 481861 1.30 1
P0 481866 1.30 1
P0 481870 1.30 1
P0 481871 1.29 1
P0 481882 1.29 1
P0 481885 1.98 1
P0 481887 1.29 1
P0 481905 1.30 1
P0 481914 1.98 1
P0 481919 0.68 1
P0 481920 0.68 1
P0 481922 0.68 1
P0 481924 0.68 1
P0 481925 2.13 2
P0 481927 0.88 1
P0 481931 1.98 1
P0 481932 0.68 1
P0 481938 1.98 1
P0 481943 1.30 1
P0 481944 1.29 1
P0 481949 1.30 1
P0 481951 0.68 1
P0 481957 1.29 1
P0 481961 0.61 1
P0 481962 1.29 1
P0 481965 1.30 1
P0 481967 0.68 1
P0 481977 1.30 1
P0 481978 0.68 1
P0 481987 0.61 1
P0 481994 1.30 1
P0 481995 0.61 1
P0 482000 1.30 1
P0 482003 0.68 1
P0 482012 3.27 2
P0 482021 1.30 1
P0 482022 0.68 1
P0 482031 1.30 1
P0 482034 1.30 1
P0 482035 0.68 1
P0 482039 1.30 1
P0 482042 1.29 1
P0 482048 1.90 2
P0 482049 1.30 1
P0 482050 0.68 1
P0 482053 0.61 1
P0 482056 2.13 1
P0 482057 1.98 1
P0 482058 1.91 2
P0 482059 1.90 1
P0 482061 3.04 2
P0 482063 0.68 1
P0 482065 1.30 1
P0 482067 1.30 1
P0 482079 1.98 1
P0 482082 1.30 1
P0 482085 1.30 1
P0 482092 1.30 1
P0 482093 1.98 1
P0 482096 1.90 1
P0 482100 0.68 1
P0 482102 1.97 2
P0 482105 0.68 1
P0 482109 1.30 1
P0 482114 0.68 1
P0 482115 1.29 1
P0 482116 1.29 1
P0 482120 2.74 1
P0 482121 1.90 1
P0 482122 1.90 1
P0 482123 0.84 1
P0 482125 1.29 1
P0 482127 1.29 1
P0 482128 1.45 2
P0 482129 1.90 1
P0 482132 1.29 1
P0 482133 0.61 1
P0 482134 0.68 1
P0 482135 2.58 1
P0 482137 2.58 1
P0 482138 2.58 1
P0 482139 3.87 2
P0 482140 0.68 1
P0 482141 2.58 1
P0 482142 0.68 1
P0 482143 1.90 1
P0 482144 0.68 1
P0 482145 1.90 1
P0 482146 0.68 1
P0 482147 0.68 1
P0 482148 0.68 1
P0 482155 3.87 2
P0 482156 3.42 1
P0 482157 0.68 1
P0 482158 2.58 1
P0 482159 2.58 1
P0 482160 1.30 1
P0 482163 3.64 2
P0 482165 0.45 1
P0 482166 1.30 1
P0 482170 2.58 1
P0 482171 0.68 1
P0 482173 1.90 1
P0 482174 2.58 1
P0 482175 1.97 2
P0 482176 0.68 1
P0 482177 0.68 1
P0 482179 1.13 2
P0 482182 1.90 1
P0 482183 1.97 2
P0 482184 1.30 1
P0 482185 1.97 2
P0 482187 1.29 1
P0 482189 2.58 1
P0 482191 0.61 1
P0 482193 1.29 1
P0 482194 2.58 1
P0 482195 2.58 1
P0 482197 0.61 1
P0 482198 2.58 1
P0 482199 3.87 1
P0 482200 2.58 1
P0 482201 2.58 1
P0 482202 1.30 1
P0 482204 0.61 1
P0 482205 0.68 1
P0 482207 1.29 1
P0 482209 0.68 1
P0 482210 3.19 2
P0 482211 0.68 1
P0 482212 1.97 2
P0 482216 3.87 1
P0 482217 1.74 1
P0 482221 1.29 1
P0 482223 2.58 1
P0 482224 2.58 1
P0 482225 1.90 1
P0 482227 2.58 1
P0 482228 0.68 1
P0 482229 1.97 2
P0 482230 1.29 1
P0 482234 0.61 1
P0 482237 1.29 1
P0 482238 2.58 1
P0 482240 1.29 1
P0 482242 0.68 1
P0 482243 1.29 1
P0 482245 1.90 1
P0 482251 1.90 1
P0 482253 0.68 1
P0 482254 2.58 1
P0 482256 1.30 1
P0 482257 0.68 1
P0 482258 1.90 2
P0 482263 2.58 1
P0 482264 0.84 1
P0 482265 2.58 1
P0 482266 2.58 1
P0 482267 1.29 1
P0 482269 1.90 1
P0 482271 0.68 1
P0 482272 1.90 1
P0 482273 0.68 1
P0 482274 0.61 1
P0 482275 1.97 2
P0 482277 1.52 2
P0 482278 1.97 2
P0 482279 2.58 1
P0 482280 0.68 1
P0 482282 4.48 1
P0 482283 0.68 1
P0 482288 1.29 1
P0 482289 1.90 1
P0 482290 1.90 1
P0 482294 3.42 1
P0 482295 2.58 1
P0 482296 0.68 1
P0 482297 0.68 1
P0 482299 1.97 2
P0 482302 2.58 1
P0 482303 0.68 1
P0 482304 0.61 1
P0 482305 0.68 1
P0 482306 1.29 1
P0 482307 1.29 1
P0 482308 2.58 1
P0 482309 2.58 1
P0 482311 2.58 1
P0 482313 2.58 1
P0 482314 0.68 1
P0 482315 2.58 1
P0 482317 0.68 1
P0 482318 2.58 1
P0 482321 2.58 1
P0 482324 1.97 2
P0 482327 2.58 1
P0 482328 3.42 1
P0 482331 0.68 1
P0 482333 2.58 1
P0 482334 0.68 1
P0 482335 0.68 1
P0 482336 2.58 1
P0 482339 0.84 1
P0 482340 0.61 1
P0 482341 1.90 1
P0 482343 2.16 1
P0 482344 0.45 1
P0 482346 2.58 1
P0 482347 2.58 1
P0 482348 4.32 2
P0 482349 2.59 2
P0 482351 0.84 1
P0 482353 2.58 1
P0 482354 0.68 1
P0 482355 2.58 1
P0 482356 1.29 1
P0 482357 0.84 1
P0 482359 2.58 1
P0 482365 0.68 1
P0 482366 0.61 1
P0 482368 2.58 1
P0 482369 0.61 1
P0 482371 1.97 2
P0 482373 1.90 1
P0 482375 2.58 1
P0 482378 0.68 1
P0 482382 0.68 1
P0 482383 0.68 1
P0 482385 1.29 1
P0 482386 2.58 1
P0 482388 1.29 1
P0 482390 2.58 1
P0 482391 1.97 2
P0 482392 2.58 1
P0 482394 1.29 1
P0 482396 1.97 2
P0 482397 1.29 1
P0 482399 2.58 1
P0 482400 0.68 1
P0 482401 0.68 1
P0 482402 0.68 1
P0 482405 2.62 2
P0 482407 2.58 1
P0 482408 1.29 1
P0 482410 2.58 1
P0 482412 5.16 1
P0 482414 0.68 1
P0 482415 2.58 1
P0 482417 1.90 1
P0 482418 1.29 1
P0 482421 2.58 1
P0 482429 2.58 1
P0 482432 0.68 1
P0 482433 2.58 1
P0 482435 1.90 1
P0 482436 1.97 2
P0 482443 1.90 1
P0 482449 2.58 1
P0 482450 1.29 1
P0 482453 1.29 1
P0 482454 1.97 2
P0 482455 2.58 1
P0 482456 0.61 1
P0 482457 1.29 1
P0 482458 0.68 1
P0 482460 2.58 1
P0 482461 0.68 1
P0 482462 1.52 2
P0 482464 0.68 1
P0 482468 0.68 1
P0 482469 1.90 1
P0 482471 2.58 1
P0 482472 0.68 1
P0 482473 2.58 1
P0 482478 2.58 1
P0 482481 1.90 1
P0 482482 0.68 1
P0 482484 2.58 1
P0 482485 0.68 1
P0 482486 2.58 1
P0 482489 3.84 2
P0 482490 2.58 1
P0 482491 1.97 2
P0 482492 1.29 1
P0 482493 0.61 1
P0 482494 0.68 1
P0 482495 0.68 1
P0 482498 0.68 1
P0 482499 2.58 1
P0 482501 1.29 1
P0 482502 2.58 1
P0 482503 0.68 1
P0 482505 2.58 1
P0 482506 1.90 1
P0 482508 1.90 1
P0 482509 2.58 1
P0 482513 2.58 1
P0 482515 0.68 1
P0 482516 1.74 2
P0 482521 2.58 1
P0 482524 1.29 1
P0 482526 1.90 1
P0 482529 1.90 1
P0 482532 0.68 1
P0 482534 1.90 1
P0 482535 2.58 1
P0 482537 0.61 1
P0 482541 2.58 1
P0 482545 1.29 1
P0 482546 1.74 1
P0 482549 1.74 1
P0 482550 0.88 1
P0 482551 0.61 1
P0 482556 2.55 2
P0 482559 1.72 2
P0 482560 1.74 1
P0 482561 3.00 1
P0 482562 2.58 1
P0 482564 0.84 1
P0 482565 1.29 1
P0 482567 2.58 1
P0 482571 1.29 1
P0 482573 1.30 2
P0 482576 2.13 2
P0 482577 0.88 1
P0 482578 2.58 1
P0 482580 0.68 1
P0 482581 1.29 1
P0 482583 2.58 1
P0 482585 0.42 1
P0 482586 0.61 1
P0 482587 0.84 1
P0 482591 0.84 1
P0 482595 2.58 1
P0 482596 0.84 1
P0 482597 1.74 1
P0 482598 0.84 1
P0 482599 2.58 1
P0 482600 2.58 1
P0 482602 1.29 1
P0 482604 1.29 1
P0 482605 1.74 1
P0 482606 1.74 1
P0 482610 1.74 1
P0 482611 3.00 1
P0 482613 2.58 1
P0 482614 1.29 1
P0 482617 0.84 1
P0 482618 2.58 1
P0 482619 1.29 1
P0 482623 0.68 1
P0 482625 2.58 1
P0 482626 1.29 1
P0 482628 2.58 1
P0 482629 2.58 1
P0 482630 1.74 1
P0 482633 2.62 2
P0 482636 1.29 1
P0 482640 1.29 1
P0 482641 1.90 1
P0 482642 1.29 1
P0 482645 2.58 1
P0 482646 2.58 1
P0 482650 1.29 1
P0 482652 0.68 1
P0 482654 2.58 1
