model iord timeinclumps nclumps
P0 84648 1.29 1
P0 84659 0.61 1
P0 84665 0.61 1
P0 84668 0.84 1
P0 84694 1.74 1
P0 84766 0.84 1
P0 84788 1.26 2
P0 84811 1.29 1
P0 84824 1.29 1
P0 84835 0.42 1
P0 84853 1.90 2
P0 84855 1.29 1
P0 84863 0.61 1
P0 84868 0.68 1
P0 84877 0.68 1
P0 84885 0.68 1
P0 84930 2.17 2
P0 84942 2.58 1
P0 84954 1.74 1
P0 84955 1.30 1
P0 84964 1.74 1
P0 84967 1.30 1
P0 84968 1.29 1
P0 84969 0.42 1
P0 84980 3.46 2
P0 85001 0.42 1
P0 85011 3.00 1
P0 85038 1.29 1
P0 85053 1.29 1
P0 85064 1.29 1
P0 85084 2.58 2
P0 85098 1.29 1
P0 85101 2.58 1
P0 85103 1.90 1
P0 85263 1.30 1
P0 85304 0.45 1
P0 85466 2.58 1
P0 85471 2.58 1
P0 85478 0.45 1
P0 85489 0.45 1
P0 85500 0.84 1
P0 85509 0.88 1
P0 85510 2.13 2
P0 85511 2.58 1
P0 85513 1.26 2
P0 85514 1.29 1
P0 85515 1.74 1
P0 85525 1.74 1
P0 85527 0.45 1
P0 85531 2.58 1
P0 85670 1.30 1
P0 85671 1.29 1
P0 85676 2.58 1
P0 85679 0.45 1
P0 85682 2.58 1
P0 85684 1.29 1
P0 85685 0.84 1
P0 85689 2.58 1
P0 85690 1.71 2
P0 85691 0.84 1
P0 85693 1.29 1
P0 85694 1.74 1
P0 85697 0.88 1
P0 85700 0.84 1
P0 85701 1.29 1
P0 85703 2.58 1
P0 85708 2.58 1
P0 85709 2.58 1
P0 85712 2.58 1
P0 85713 2.13 2
P0 85714 2.58 1
P0 85715 1.29 1
P0 85718 0.45 1
P0 85720 1.33 2
P0 85725 2.58 1
P0 85730 1.29 1
P0 85736 2.13 2
P0 85737 2.58 1
P0 85741 0.84 1
P0 85743 2.17 2
P0 85747 2.58 1
P0 85862 0.42 1
P0 85873 0.42 1
P0 85880 2.58 1
P0 85881 2.58 1
P0 85890 2.58 1
P0 85891 2.58 1
P0 85902 3.00 1
P0 85904 1.29 1
P0 85908 2.16 1
P0 85909 1.26 2
P0 85912 2.58 1
P0 85914 1.75 2
P0 85915 2.59 1
P0 85916 0.84 1
P0 85917 1.26 2
P0 85918 1.29 1
P0 85919 2.58 1
P0 85921 1.74 1
P0 85922 0.84 1
P0 85923 0.84 1
P0 85924 0.84 1
P0 85925 1.29 1
P0 85926 2.58 1
P0 85927 0.84 1
P0 85929 0.84 1
P0 85930 3.46 2
P0 85931 1.74 1
P0 85933 1.74 1
P0 85934 1.29 1
P0 85935 2.58 1
P0 85936 2.58 1
P0 85939 1.29 1
P0 85940 2.58 1
P0 85942 0.84 1
P0 85943 2.58 1
P0 85945 2.58 1
P0 85947 1.26 2
P0 85948 0.84 1
P0 85949 0.84 1
P0 85953 0.84 1
P0 85957 1.72 2
P0 85958 2.58 1
P0 85959 2.58 1
P0 85960 2.58 1
P0 85961 2.17 2
P0 85963 0.45 1
P0 85964 1.74 1
P0 85965 3.46 2
P0 86136 2.58 1
P0 86172 1.71 2
P0 87443 0.45 1
P0 87472 2.58 1
P0 87619 2.58 1
P0 87654 2.58 1
P0 87743 1.29 1
P0 87758 1.29 1
P0 87886 1.29 1
P0 87899 1.30 1
P0 87903 1.30 1
P0 87925 0.45 1
P0 88094 0.42 1
P0 88107 1.29 1
P0 88109 0.68 1
P0 88220 0.45 1
P0 88229 1.29 1
P0 88274 1.29 1
P0 88284 0.61 1
P0 88302 0.61 1
P0 88309 0.61 1
P0 88314 0.45 1
P0 88316 0.68 1
P0 88317 0.68 1
P0 88318 0.61 1
P0 88320 0.68 1
P0 88322 0.61 1
P0 88327 1.29 1
P0 88328 0.61 1
P0 88334 0.61 1
P0 88337 1.06 2
P0 88342 0.61 1
P0 88347 1.74 1
P0 88348 0.84 1
P0 88355 2.17 2
P0 88367 2.62 2
P0 88441 1.29 1
P0 88479 1.29 1
P0 88507 0.61 1
P0 88526 2.59 2
P0 88537 1.29 1
P0 88549 0.68 1
