model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
P0 2.15 3.00 0.74 0.58 1298375.94 0.74 21.79 -28.88
P0 2.60 2.52 0.64 0.71 2607718.64 0.86 24.08 -36.90
P0 3.29 2.00 1.73 0.90 2554276.17 0.95 31.17 -17.60
P0 3.89 1.67 0.80 1.07 4737819.71 0.90 36.39 -44.50
P0 5.19 1.18 37.67 1.44 1940263.21 0.86 49.38 1.28
P0 5.87 1.00 2.66 1.65 1629476.44 0.77 58.11 -21.35
P0 6.48 0.86 1.10 1.83 3153462.70 0.84 59.45 -53.07
P0 8.61 0.50 7.89 2.53 2081349.12 0.76 97.76 12.12
P0 10.35 0.29 0.49 3.17 1382023.77 0.74 92.91 -186.68
