model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
GM2noBHs 1.18 4.99 0.24 0.59 874962.83 0.82 15.26 -65.77
GM2noBHs 1.31 4.58 0.66 0.60 840959.11 0.69 15.91 -16.22
GM2noBHs 1.55 4.00 0.01 0.66 973574.43 0.61 17.23 -28.85
GM2noBHs 1.74 3.61 0.56 0.70 892362.08 0.67 18.43 -49.73
GM2noBHs 2.15 3.00 0.25 0.76 1144060.34 0.69 21.66 -72.72
GM2noBHs 2.17 2.98 0.10 0.75 1685468.50 0.66 21.63 -69.25
GM2noBHs 2.60 2.52 0.40 0.84 2989883.49 0.85 26.48 -74.37
GM2noBHs 3.03 2.17 0.69 0.83 2142041.95 0.83 30.85 -78.93
GM2noBHs 3.29 2.00 1.74 0.93 3673899.20 0.90 36.70 -68.07
GM2noBHs 3.89 1.67 0.08 0.63 3169738.41 0.99 30.95 -28.43
GM2noBHs 4.32 1.48 0.71 0.85 2714479.68 0.93 40.57 -96.77
GM2noBHs 4.76 1.32 0.28 1.07 2364862.90 0.88 51.05 -40.85
GM2noBHs 5.19 1.18 1.06 1.56 1505175.74 0.77 73.04 -34.95
GM2noBHs 5.62 1.06 1.01 1.54 2001994.96 0.78 74.25 6.46
GM2noBHs 5.87 1.00 2.35 1.55 1231461.44 0.76 73.92 -3.29
GM2noBHs 6.05 0.96 2.23 1.42 1462849.18 0.82 67.83 -4.39
GM2noBHs 6.48 0.86 0.85 1.00 2857228.40 0.92 51.38 -68.04
GM2noBHs 6.91 0.77 0.76 0.79 2110386.66 0.93 41.48 -76.38
GM2noBHs 7.34 0.70 0.37 0.90 1700159.98 0.78 47.38 -98.84
GM2noBHs 7.77 0.62 1.25 0.77 1716510.92 0.83 41.84 -104.09
GM2noBHs 8.61 0.50 24.95 0.95 1435257.24 0.80 50.38 -22.32
GM2noBHs 9.06 0.44 1.55 1.25 1144503.05 0.69 63.18 -54.04
GM2noBHs 9.92 0.34 0.80 3.39 2188422.08 0.68 149.27 -102.16
GM2noBHs 10.35 0.29 1.38 1.49 817374.52 0.60 74.63 -66.98
GM2noBHs 10.79 0.25 1.00 2.61 6296003.64 0.79 126.80 -98.19
GM2noBHs 11.22 0.21 0.19 1.83 6617410.89 0.85 96.48 -75.72
GM2noBHs 11.65 0.17 0.46 1.22 6962845.40 0.96 66.86 17.73
