model z clump.grp clump_mass
h148_6144 0.17 320 2081078.25
h148_6144 0.17 321 86159.27
h148_6144 0.17 322 112669.79
h148_6144 0.17 323 6627.63
h148_6144 0.17 324 1335739.86
h148_6144 0.17 325 9941.46
h148_6144 0.17 326 16569.09
h148_6144 0.17 327 68409.57
h148_6144 0.17 328 50078.42
h148_6144 0.17 329 313368.90
h148_6144 0.17 330 148790.48
h148_6144 0.17 331 63879.48
h148_6144 0.17 332 60795.13
h148_6144 0.17 333 41877.87
h148_6144 0.17 334 48277.78
h148_6144 0.17 335 33832.00
h148_6144 0.17 336 26749.97
h148_6144 0.17 337 35898.12
h148_6144 0.17 338 38983.79
h148_6144 0.17 339 26692.26
h148_6144 0.17 340 23149.13
h148_6144 0.17 341 65059.09
h148_6144 0.17 342 62266.67
h148_6144 0.17 343 71044.44
h148_6144 0.17 344 72904.26
h148_6144 0.17 345 53402.08
h148_6144 0.17 346 73990.93
h148_6144 0.17 347 86055.87
h148_6144 0.17 348 26195.78
h148_6144 0.17 349 73490.73
h148_6144 0.17 350 69168.46
h148_6144 0.17 351 59062.35
h148_6144 0.17 352 41192.59
h148_6144 0.17 353 69000.60
h148_6144 0.17 354 15016.33
h148_6144 0.17 355 73707.83
h148_6144 0.17 356 70889.68
h148_6144 0.17 357 10698.94
h148_6144 0.17 358 49810.27
h148_6144 0.17 359 18930.38
h148_6144 0.17 360 26278.12
h148_6144 0.17 361 9245.82
h148_6144 0.17 362 186185.79
h148_6144 0.17 363 65553.71
h148_6144 0.17 364 33245.25
h148_6144 0.17 365 63507.47
h148_6144 0.17 366 65226.31
h148_6144 0.17 367 57432.06
h148_6144 0.17 368 20045.33
h148_6144 0.17 369 68793.88
h148_6144 0.17 370 15819.36
h148_6144 0.17 371 58857.96
h148_6144 0.17 372 62518.98
h148_6144 0.17 373 70443.31
h148_6144 0.17 374 127985.83
h148_6144 0.17 375 44017.40
h148_6144 0.17 376 23216.95
h148_6144 0.17 377 23924.22
h148_6144 0.17 378 19938.58
h148_6144 0.17 379 43993.33
h148_6144 0.17 380 66102.55
h148_6144 0.17 381 10461.45
h148_6144 0.17 382 3036.28
h148_6144 0.17 383 22231.41
h148_6144 0.17 384 26542.30
h148_6144 0.17 385 69280.68
h148_6144 0.17 386 21570.05
h148_6144 0.17 387 37964.17
h148_6144 0.17 388 59962.13
h148_6144 0.17 389 16415.01
h148_6144 0.17 390 76220.51
h148_6144 0.17 391 16575.75
h148_6144 0.17 392 16195.73
h148_6144 0.17 393 28091.42
h148_6144 0.17 394 16570.77
h148_6144 0.17 395 15648.36
h148_6144 0.17 396 9944.38
h148_6144 0.17 397 35462.16
h148_6144 0.17 398 39765.96
h148_6144 0.17 399 27633.15
h148_6144 0.17 400 79907.96
h148_6144 0.17 401 65055.03
h148_6144 0.17 402 33292.92
h148_6144 0.17 403 72905.18
h148_6144 0.17 404 10162.59
h148_6144 0.17 405 76144.55
h148_6144 0.17 406 83881.62
h148_6144 0.17 407 72661.58
h148_6144 0.17 408 40090.95
h148_6144 0.17 409 56975.09
h148_6144 0.17 410 28798.60
h148_6144 0.17 411 13273.95
h148_6144 0.17 412 14493.14
h148_6144 0.17 413 6654.28
h148_6144 0.17 414 13503.26
h148_6144 0.17 415 54056.87
h148_6144 0.17 416 29861.65
h148_6144 0.17 417 57595.64
h148_6144 0.17 418 44291.06
h148_6144 0.17 419 57783.42
h148_6144 0.17 420 19602.34
h148_6144 0.17 421 10223.84
h148_6144 0.17 422 33166.64
h148_6144 0.17 423 10336.98
h148_6144 0.17 424 23376.51
h148_6144 0.17 425 80486.92
h148_6144 0.17 426 32648.68
h148_6144 0.17 427 28361.53
h148_6144 0.17 428 71780.89
h148_6144 0.17 429 14021.99
h148_6144 0.17 430 12506.84
h148_6144 0.17 431 6098.73
h148_6144 0.17 432 96100.90
h148_6144 0.17 433 32988.11
h148_6144 0.17 434 6662.71
h148_6144 0.17 435 59952.82
h148_6144 0.17 436 12447.43
h148_6144 0.17 437 13273.46
h148_6144 0.17 438 71101.58
h148_6144 0.17 439 3457.94
h148_6144 0.17 440 46025.44
h148_6144 0.17 441 52610.17
h148_6144 0.17 442 37466.33
h148_6144 0.17 443 15893.98
h148_6144 0.17 444 59189.57
h148_6144 0.17 445 56310.80
h148_6144 0.17 446 10753.79
h148_6144 0.17 447 7224.65
h148_6144 0.17 448 23210.26
h148_6144 0.17 449 42287.56
h148_6144 0.17 450 20877.78
h148_6144 0.17 451 12878.75
h148_6144 0.17 452 58643.69
h148_6144 0.17 453 12988.81
h148_6144 0.17 454 31498.73
h148_6144 0.17 455 82088.66
h148_6144 0.17 456 6627.63
h148_6144 0.17 457 64406.58
h148_6144 0.17 458 36451.99
h148_6144 0.17 459 9941.45
h148_6144 0.17 460 49707.26
h148_6144 0.17 461 198509.17
h148_6144 0.17 462 46393.44
h148_6144 0.17 463 16569.11
h148_6144 0.17 464 43230.13
h148_6144 0.17 465 13476.53
h148_6144 0.17 466 96347.89
h148_6144 0.17 467 7201.64
h148_6144 0.17 468 9941.45
h148_6144 0.17 469 53036.91
h148_6144 0.17 470 33146.94
h148_6144 0.17 471 13255.27
h148_6144 0.17 472 59666.52
h148_6144 0.17 473 6627.63
h148_6144 0.17 474 49707.26
h148_6144 0.17 475 333533.27
h148_6144 0.17 476 23201.50
h148_6144 0.17 477 122763.65
h148_6144 0.17 478 195001.24
h148_6144 0.17 479 19914.86
h148_6144 0.17 480 29824.35
h148_6144 0.17 481 23224.70
h148_6144 0.17 482 26510.56
h148_6144 0.17 483 59648.71
h148_6144 0.17 484 13255.27
h148_6144 0.17 485 26510.55
h148_6144 0.17 486 55740.56
h148_6144 0.17 487 39845.43
h148_6144 0.17 488 55045.61
h148_6144 0.17 489 439054.49
h148_6144 0.17 490 273117.25
h148_6144 0.17 491 202816.05
h148_6144 0.17 492 72217.73
h148_6144 0.17 493 143361.34
h148_6144 0.17 494 29849.81
h148_6144 0.17 495 445343.10
h148_6144 0.17 496 62132.63
h148_6144 0.17 497 203379.47
h148_6144 0.17 498 704070.79
h148_6144 0.17 499 46905.98
h148_6144 0.17 500 28551.93
h148_6144 0.17 501 33604.45
h148_6144 0.17 502 82525.20
h148_6144 0.17 503 18590.76
h148_6144 0.17 504 16570.30
h148_6144 0.17 505 32179.00
h148_6144 0.17 506 31554.69
h148_6144 0.17 507 24113.61
h148_6144 0.17 508 27714.29
h148_6144 0.17 509 34045.44
h148_6144 0.17 510 33681.95
h148_6144 0.17 511 72776.03
h148_6144 0.17 512 23280.86
h148_6144 0.17 513 80768.54
h148_6144 0.17 514 27097.43
h148_6144 0.17 515 31613.96
h148_6144 0.17 516 32643.65
h148_6144 0.17 517 34906.49
h148_6144 0.17 518 77232.18
h148_6144 0.17 519 18548.32
h148_6144 0.17 520 68538.55
h148_6144 0.17 521 71164.08
h148_6144 0.17 522 79348.60
h148_6144 0.17 523 61777.00
h148_6144 0.17 524 21643.75
h148_6144 0.17 525 45644.50
h148_6144 0.17 526 24645.92
h148_6144 0.17 527 24549.66
h148_6144 0.17 528 18959.30
h148_6144 0.17 529 31586.12
h148_6144 0.17 530 26032.72
h148_6144 0.17 531 30252.62
h148_6144 0.17 532 41607.22
h148_6144 0.17 533 30979.68
h148_6144 0.17 534 31412.89
h148_6144 0.17 535 16621.26
h148_6144 0.17 536 87358.38
h148_6144 0.17 537 64506.11
h148_6144 0.17 538 70836.71
h148_6144 0.17 539 37664.89
h148_6144 0.17 540 59044.32
h148_6144 0.17 541 34686.64
h148_6144 0.17 542 69216.30
h148_6144 0.17 543 60086.29
h148_6144 0.17 544 39313.31
h148_6144 0.17 545 39759.28
h148_6144 0.17 546 49776.45
h148_6144 0.17 547 46898.70
h148_6144 0.17 548 25452.10
h148_6144 0.17 549 23393.55
h148_6144 0.17 550 32291.51
h148_6144 0.17 551 41405.37
h148_6144 0.17 552 91292.69
h148_6144 0.17 553 18478.85
h148_6144 0.17 554 53021.65
h148_6144 0.17 555 17421.86
h148_6144 0.17 556 39091.85
h148_6144 0.17 557 25137.67
h148_6144 0.17 558 18878.11
h148_6144 0.17 559 45474.29
h148_6144 0.17 560 42632.07
h148_6144 0.17 561 19458.57
h148_6144 0.17 562 13263.09
h148_6144 0.17 563 22944.43
h148_6144 0.17 564 17270.05
h148_6144 0.17 565 9942.20
h148_6144 0.17 566 33734.48
h148_6144 0.17 567 70150.34
h148_6144 0.17 568 6631.28
h148_6144 0.17 569 35416.00
h148_6144 0.17 570 61878.97
h148_6144 0.17 571 39254.08
h148_6144 0.17 572 49673.55
h148_6144 0.17 573 17051.25
h148_6144 0.17 574 55206.83
h148_6144 0.17 575 34322.75
h148_6144 0.17 576 68945.52
h148_6144 0.17 577 323685.37
h148_6144 0.17 578 35547.63
h148_6144 0.17 579 56793.94
h148_6144 0.17 580 669376.97
h148_6144 0.17 581 165127.36
h148_6144 0.17 582 2745280.64
h148_6144 0.17 583 1066420.98
h148_6144 0.17 584 76506.04
h148_6144 0.17 585 105353.66
h148_6144 0.17 586 301726.30
h148_6144 0.17 587 189898.62
h148_6144 0.17 588 178066.66
h148_6144 0.17 589 47584.39
h148_6144 0.17 590 105372.25
h148_6144 0.17 591 39590.14
h148_6144 0.17 592 11343.98
h148_6144 0.17 593 127465.73
h148_6144 0.17 594 19882.91
h148_6144 0.17 595 59087.48
h148_6144 0.17 596 131876.18
h148_6144 0.17 597 341109.65
h148_6144 0.17 598 69261.11
h148_6144 0.17 599 84960.14
h148_6144 0.17 600 32877.58
h148_6144 0.17 601 74673.15
h148_6144 0.17 602 67883.22
h148_6144 0.17 603 74050.47
h148_6144 0.17 604 18385.96
h148_6144 0.17 605 46393.44
h148_6144 0.17 606 67183.81
h148_6144 0.17 607 55704.65
h148_6144 0.17 608 14463.81
