model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
P0 2.15 3.00 0.53 0.79 1298375.94 0.74 21.79 -28.88
P0 2.60 2.52 1.78 0.78 2607718.64 0.86 24.08 -36.90
P0 3.29 2.00 inf 0.88 2554276.17 0.95 31.17 -17.60
P0 3.89 1.67 inf 0.77 4737819.71 0.90 36.39 -44.50
P0 5.19 1.18 0.51 1.07 1940263.21 0.86 49.38 1.28
P0 5.87 1.00 0.90 1.23 1629476.44 0.77 58.11 -21.35
P0 6.48 0.86 0.28 1.19 3153462.70 0.84 59.45 -53.07
P0 8.61 0.50 4.22 2.05 2081349.12 0.76 97.76 12.12
P0 10.35 0.29 0.58 1.85 1382023.77 0.74 92.91 -186.68
