model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
GM1noBHs 5.62 1.06 2.50 1.57 1132634.51 0.76 73.35 28.67
GM1noBHs 5.87 1.00 1.52 1.65 1066352.54 0.73 75.74 -48.89
GM1noBHs 6.05 0.96 2.82 1.70 3392183.58 0.82 70.06 -24.29
GM1noBHs 6.48 0.86 4.53 1.83 2799373.03 0.89 63.61 13.73
GM1noBHs 6.91 0.77 2.38 1.97 1855586.89 0.92 63.94 -26.27
GM1noBHs 7.34 0.70 1.24 2.11 2668450.92 0.98 60.22 -47.53
GM1noBHs 7.77 0.62 0.83 2.25 3178875.02 1.05 48.19 -56.79
GM1noBHs 8.20 0.56 0.35 2.39 7805953.44 1.00 36.09 -100.69
GM1noBHs 8.61 0.50 5.59 2.54 4849232.64 1.01 51.41 8.99
GM1noBHs 8.63 0.50 1.46 2.54 4706299.45 0.98 56.60 37.91
GM1noBHs 9.92 0.34 0.97 3.01 2702781.45 0.84 83.96 -84.83
GM1noBHs 11.22 0.21 0.77 3.51 865619.25 0.72 93.71 -118.34
GM1noBHs 11.65 0.17 0.59 3.69 1206886.49 0.84 83.51 -137.35
GM1noBHs 12.08 0.13 0.36 3.87 4388151.92 0.85 71.96 -194.50
